# import_path	symbol	rationale	owner	reviewed_on
# Exact exceptions for newly added stable or compatibility-only exported
# identifiers when a compile-checked example would be misleading or redundant.
# The API additions gate still requires a source doc comment, current
# docs/api-inventory.md entry, and package-tied release note for every symbol.
github.com/aatuh/api-toolkit/v4/authorization	Authorizer	V3 package-local alias is covered by default-deny and policy authorization tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/authorization	AuthorizerFunc	V3 package-local function alias is covered by allowlist tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/authorization	PolicyEngine	V3 package-local alias is covered by policy authorization tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/authorization	PolicyRequest	V3 package-local value alias is covered by policy authorization tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/authorization	PolicyDecision	V3 package-local value alias is covered by policy authorization tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/middleware/idempotency	Store	V3 package-local alias is covered by existing idempotency middleware and adapter contract tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/middleware/idempotency	ReservationReleaser	V3 package-local alias is covered by token-aware release contract tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/middleware/idempotency	ReleasableStore	V3 package-local alias is covered by adapter contract tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/health	Checker	V3 package-local alias is covered by existing checker constructor examples; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/health	ManagerContract	V3 package-local alias is covered by existing manager and handler examples; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/health	DetailedManager	V3 capability alias is covered by detailed health handler contract tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/health	CachedManager	V3 capability alias is covered by cached health middleware contract tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/health	RouteRegistrar	V3 route registrar alias is covered by endpoint registration examples; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/docs	Provider	V3 package-local alias is covered by docs provider handler tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/docs	ManagerContract	V3 package-local alias is covered by docs manager examples; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/docs	HTMLModeProvider	V3 capability alias is covered by docs CSP contract tests; a standalone alias example would be redundant.	core-maintainers	2026-07-11
github.com/aatuh/api-toolkit/v4/endpoints/docs	RouteRegistrar	V3 route registrar alias is covered by docs endpoint registration examples; a standalone alias example would be redundant.	core-maintainers	2026-07-11
